NOME SEÇÃO,MARCA,Venda R$
(DESATIVADA)AMACIANTE,                    ,5.97
ACESSORIOS LIMPEZA/BAZAR,ALKLIN              ,96594.31
ACESSORIOS LIMPEZA/BAZAR,BETTANIN            ,145472.71
ACESSORIOS LIMPEZA/BAZAR,BRILHUS             ,27604.3
ACESSORIOS LIMPEZA/BAZAR,CONDOR              ,359682.55
ACESSORIOS LIMPEZA/BAZAR,FLAMARIMPEX         ,76195.23
ACESSORIOS LIMPEZA/BAZAR,FORTA               ,57716.82
ACESSORIOS LIMPEZA/BAZAR,HIPERCLEAN          ,529.86
ACESSORIOS LIMPEZA/BAZAR,IDB                 ,3789.71
ACESSORIOS LIMPEZA/BAZAR,NOVICA              ,240198.24
ACESSORIOS LIMPEZA/BAZAR,SANILUX             ,30374.089999999997
ACESSORIOS LIMPEZA/BAZAR,SCOTCH BRITE        ,76604.68
AGUA SANITARIA,AQUAFAST            ,87459.29
AGUA SANITARIA,GIRANDO SOL         ,301988.22
AGUA SANITARIA,Q BOA               ,1169177.97
AGUA SANITARIA,YPE                 ,382589.87
ALCOOL,BRILHOLAC           ,109854.99
ALCOOL,COPERALCOOL         ,132211.43
ALCOOL,DA ILHA             ,805387.09
ALCOOL,PROTECTMAX          ,578550.15
ALCOOL,WALTRICK            ,45371.23
ALVEJANTE/TIRA MANCHAS,AQUAFAST            ,73762.24
ALVEJANTE/TIRA MANCHAS,BRILHANTE           ,106004.54
ALVEJANTE/TIRA MANCHAS,COLMAN              ,49038.56
ALVEJANTE/TIRA MANCHAS,GIRANDO SOL         ,76220.59
ALVEJANTE/TIRA MANCHAS,OMO                 ,98562.36
ALVEJANTE/TIRA MANCHAS,Q BOA               ,179520.91999999998
ALVEJANTE/TIRA MANCHAS,SEMORIN             ,66265.08
ALVEJANTE/TIRA MANCHAS,TIXAN YPE           ,12940.619999999999
ALVEJANTE/TIRA MANCHAS,VANISH              ,1329856.39
ALVEJANTE/TIRA MANCHAS,VEJA+VANISH         ,3555.02
ALVEJANTE/TIRA MANCHAS,YPE                 ,16902.94
ALVEJANTE/TIRA MANCHAS,ZAVASKI             ,27433.96
AMACIANTE CONCENTRADO,AQUAFAST            ,145315.11
AMACIANTE CONCENTRADO,ARIEL+DOWNY         ,130855.83
AMACIANTE CONCENTRADO,COMFORT             ,2369974.02
AMACIANTE CONCENTRADO,DOWNY               ,3166219.63
AMACIANTE CONCENTRADO,FOFO                ,85960.89
AMACIANTE CONCENTRADO,GIRANDO SOL         ,231668.69999999998
AMACIANTE CONCENTRADO,OMO+COMFORT         ,12883.81
AMACIANTE CONCENTRADO,YPE                 ,139461.66
AMACIANTE DILUIDO,AQUAFAST            ,269036.65
AMACIANTE DILUIDO,BABY SOFT           ,13588.92
AMACIANTE DILUIDO,COMFORT             ,86281.09999999999
AMACIANTE DILUIDO,FOFO                ,48429.579999999994
AMACIANTE DILUIDO,GIRANDO SOL         ,292684.46
AMACIANTE DILUIDO,MON BIJOU           ,60973.520000000004
AMACIANTE DILUIDO,RUTH                ,3100.5099999999998
AMACIANTE DILUIDO,VIDA MACIA          ,77024.98
AMACIANTE DILUIDO,YPE                 ,951790.65
CERA P/ASSOALHOS,ANDREIA             ,19530.579999999998
CERA P/ASSOALHOS,BRAVO               ,11040.210000000001
CERA P/ASSOALHOS,BRILHO FACIL        ,68866.3
CERA P/ASSOALHOS,BRILHOLAC           ,41092.45
CERA P/ASSOALHOS,GIRANDO SOL         ,25648.14
CERA P/ASSOALHOS,POLIFLOR            ,19911.579999999998
CLORO/PISCINA,BEL                 ,24174.18
CLORO/PISCINA,TRENTO              ,26717.62
CONCENTRADO LIMPEZA,AJAX                ,511930.97
CONCENTRADO LIMPEZA,AQUAFAST            ,24051.27
CONCENTRADO LIMPEZA,CASA PERFUME        ,195828.01
CONCENTRADO LIMPEZA,CIF                 ,51708.58
CONCENTRADO LIMPEZA,COALA               ,336390.6
CONCENTRADO LIMPEZA,JIMO                ,25423.35
CONCENTRADO LIMPEZA,MR MUSCULO          ,4333.65
CONCENTRADO LIMPEZA,PINHO SOL           ,37687.979999999996
CONCENTRADO LIMPEZA,Q BOA               ,33576.73
CONCENTRADO LIMPEZA,SETIMA GERACAO      ,4995.299999999999
CONCENTRADO LIMPEZA,VEJA                ,1915565.61
CONCENTRADO LIMPEZA,VEJA+VANISH         ,12643.48
CONCENTRADO LIMPEZA,VINAGREEN           ,10100.050000000001
CONCENTRADO LIMPEZA,YPE                 ,285409.52
COZINHA/CAUSTICO,BEL                 ,82737.92
COZINHA/CAUSTICO,DIABO VERDE         ,172180.54
COZINHA/CAUSTICO,EASY OFF            ,17297.59
COZINHA/CAUSTICO,FORCA AZUL          ,14831.019999999999
DESENGORDURANTE,AJAX                ,2510.02
